1nz,N,Z,A,EL,MASSEXCESS,AtomicMass,BE,BE_uncer
12,26,14,40,Si,5429.679,40.005829,7926.552,0.003
3,22,19,41,K ,-35559.54331,40.9618252579,8708.988,0.01
-1,20,21,41,Sc,-28642.412,40.969251104,8647.212,0.005
1,21,20,41,Ca,-35137.89,40.962277921,7926.529,0.003
5,23,18,41,Ar,-33067.505,40.964500571,7965.84,0.015
9,25,16,41,S ,-19008.577,40.979593451,8419.952,0.011
-3,19,22,41,Ti,-15697.537,40.983148,7993.325,0.021
7,24,17,41,Cl,-27307.189,40.970684525,8503.262,0.009
11,26,15,41,P ,-4979.767,40.994654,8476.913,0.01
13,27,14,41,Si,12119.668,41.013011,8554.674,0.012
4,23,19,42,K ,-35022.026,41.962402306,7905.279,0.003
2,22,20,42,Ca,-38547.245,41.958617828,7905.895,0.003
0,21,21,42,Sc,-32121.153,41.965516522,8741.882,0.009
-2,20,22,42,Ti,-25104.674,41.973049022,7915.971,0.003
10,26,16,42,S ,-17637.746,41.9810651,7908.567,0.003
6,24,18,42,Ar,-34422.675,41.963045736,7906.937,0.003
8,25,17,42,Cl,-24831.767,41.973342,7915.654,0.003
12,27,15,42,P ,1009.74,42.001084,8642,0.009
3,23,20,43,Ca,-38408.822,42.95876643,8580.29,0.005
5,24,19,43,K ,-36575.389,42.960734703,8072.404,0.018
1,22,21,43,Sc,-36188.102,42.961150472,8583.05,0.009
11,27,16,43,S ,-12195.459,42.986907635,8570.967,0.01
7,25,18,43,Ar,-32009.808,42.965636055,8670.933,0.01
-1,21,22,43,Ti,-29321.082,42.968522521,8369.67,0.015
-3,20,23,43,V ,-17916.356,42.980766,8723.258,0.011
9,26,17,43,Cl,-24159.508,42.9740637,8422.297,0.005
13,28,15,43,P ,4679.826,43.005024,8547.162,0.006
4,24,20,44,Ca,-41468.675,43.955481543,4155.381,0.056
6,25,19,44,K ,-35781.492,43.961586986,8679.343,0.01
0,22,22,44,Ti,-37548.569,43.959689951,8003.456,0.017
8,26,18,44,Ar,-32673.255,43.964923816,8518.642,0.01
2,23,21,44,Sc,-37815.985,43.959402867,8718.081,0.01
12,28,16,44,S ,-9204.233,43.990118848,8735.905,0.01
10,27,17,44,Cl,-20384.523,43.978116312,7962.104,0.003
-2,21,23,44,V ,-24116.38,43.97411,8724.265,0.01
5,25,20,45,Ca,-40812.174,44.956186326,8757.096,0.01
9,27,18,45,Ar,-29770.796,44.968039733,8510.724,0.006
7,26,19,45,K ,-36615.638,44.960691493,8731.472,0.01
3,24,21,45,Sc,-41071.896,44.955907503,7946.493,0.003
1,23,22,45,Ti,-39009.84,44.958121211,7950.568,0.003
-1,22,23,45,V ,-31886.016,44.965768951,7963.002,0.004
-3,21,24,45,Cr,-19514.799,44.97905,8429.381,0.013
13,29,16,45,S ,-3989.589,44.995717,8618.931,0.015
11,28,17,45,Cl,-18262.543,44.980394353,8327.461,0.019
2,24,22,46,Ti,-44127.799,45.952626856,8622.012,0.015
0,23,23,46,V ,-37075.351,45.960197971,8692.928,0.009
4,25,21,46,Sc,-41761.219,45.955167485,8361.059,0.021
8,27,19,46,K ,-35413.924,45.961981586,8533.52,0.016
10,28,18,46,Ar,-29772.926,45.968037446,7896.85,0.003
6,26,20,46,Ca,-43139.361,45.953687988,7897.56,0.004
-2,22,24,46,Cr,-29471.567,45.96836097,8497.32,0.013
12,29,17,46,Cl,-13859.398,45.985121323,8499.449,0.006
3,25,22,47,Ti,-44937.364,46.951757752,8518.042,0.016
1,24,23,47,V ,-42006.618,46.954904038,8005.077,0.004
11,29,18,47,Ar,-25366.338,46.972768114,8521.749,0.007
9,28,19,47,K ,-35711.976,46.961661614,7992.907,0.004
5,26,21,47,Sc,-44336.595,46.952402704,7973.864,0.004
7,27,20,47,Ca,-42344.418,46.954541394,7973.78,0.004
-1,23,24,47,Cr,-34562.578,46.962895544,7977.951,0.004
-3,22,25,47,Mn,-22566.374,46.975774,8008.322,0.004
8,28,20,48,Ca,-44224.629,47.952522904,7966.747,0.004
4,26,22,48,Ti,-48492.709,47.947940932,8018.308,0.004
10,29,19,48,K ,-32284.477,47.965341186,8759.632,0.011
2,25,23,48,V ,-44477.694,47.952251229,7105.031,0.036
6,27,21,48,Sc,-44503.842,47.952223157,8734.152,0.011
-2,23,25,48,Mn,-29296.338,47.968549085,7982.831,0.004
0,24,24,48,Cr,-42822.02,47.954028667,8156.968,0.005
12,30,18,48,Ar,-22281.337,47.97608,8161.785,0.005
5,27,22,49,Ti,-48563.787,48.947864627,8158.714,0.005
9,29,20,49,Ca,-41299.765,48.955662875,8173.457,0.005
11,30,19,49,K ,-29611.49,48.968210755,8173.31,0.005
3,26,23,49,V ,-47961.931,48.948510746,8143.909,0.005
1,25,24,49,Cr,-45333.06,48.951332955,8473.777,0.013
-1,24,25,49,Mn,-37620.634,48.959612585,8184.054,0.005
7,28,21,49,Sc,-46561.265,48.950014423,8434.232,0.016
-3,23,26,49,Fe,-24750.727,48.973429,8149.02,0.005
6,28,22,50,Ti,-51431.66,49.944785839,8755.68,0.012
4,27,23,50,V ,-49224.013,49.947155845,7100.169,0.053
2,26,24,50,Cr,-50262.072,49.946041443,8722.729,0.012
0,25,25,50,Mn,-42627.595,49.954237391,8105.517,0.005
10,30,20,50,Ca,-39589.224,49.957499217,8372.274,0.016
12,31,19,50,K ,-25727.848,49.972380017,8448.185,0.024
-2,24,26,50,Fe,-34476.456,49.962988,8114.473,0.005
8,29,21,50,Sc,-44547.382,49.952176415,8717.604,0.011
3,27,24,51,Cr,-51451.395,50.944764652,8662.16,0.013
5,28,23,51,V ,-52203.842,50.943956867,7991.009,0.004
1,26,25,51,Mn,-48243.877,50.948208065,8687.089,0.011
7,29,22,51,Ti,-49732.837,50.9466096,8152.397,0.005
11,31,20,51,Ca,-36332.304,50.960995665,7981.269,0.004
-1,25,26,51,Fe,-40202.555,50.956840779,7988.677,0.005
13,32,19,51,K ,-22516.196,50.975827867,8682.908,0.017
9,30,21,51,Sc,-43228.684,50.953592095,7981.304,0.004
-3,24,27,51,Co,-27342.143,50.970647,8703.309,0.012
4,28,24,52,Cr,-55419.242,51.940504992,8721.7,0.012
6,29,23,52,V ,-51443.769,51.944772839,8555.722,0.019
12,32,20,52,Ca,-34266.266,51.963213648,8756.148,0.014
2,27,25,52,Mn,-50707.284,51.945563488,8448.752,0.007
0,26,26,52,Fe,-48330.363,51.948115217,8137.28,0.005
8,30,22,52,Ti,-49469.82,51.94689196,8430.409,0.007
-2,25,27,52,Co,-34360.951,51.963112,8643.592,0.009
14,33,19,52,K ,-17137.627,51.981602,8380.029,0.019
10,31,21,52,Sc,-40443.279,51.956582351,8700.874,0.012
5,29,24,53,Cr,-55286.999,52.940646961,7568.57,0.044
3,28,25,53,Mn,-54690.116,52.941287742,8682.816,0.012
1,27,26,53,Fe,-50947.53,52.945305574,8737.458,0.013
-1,26,27,53,Co,-42659.428,52.954203217,8504.492,0.007
7,30,23,53,V ,-51851.061,52.944335593,6257.07,0.1
-3,25,28,53,Ni,-29630.824,52.96819,8613.61,0.009
13,33,20,53,Ca,-29387.704,52.968451,8486.215,0.012
11,32,21,53,Sc,-38906.808,52.958231821,8571.019,0.009
9,31,22,53,Ti,-46831.061,52.949724785,8715.514,0.016
15,34,19,53,K ,-12295.721,52.9868,8485.201,0.008
6,30,24,54,Cr,-56934.765,53.938878012,8710.813,0.012
2,28,26,54,Fe,-56254.5,53.939608306,8139.936,0.006
0,27,27,54,Co,-48009.953,53.948459192,8682.494,0.012
